78, 1, 262, 149, 56, 56
79, 1, 257, 149, 56, 56
80, 1, 262, 153, 56, 56
81, 1, 261, 151, 56, 56
82, 1, 259, 157, 56, 56
83, 1, 257, 151, 56, 56
86, 1, 246, 186, 56, 56
93, 1, 0, 159, 56, 56
94, 1, 1, 162, 56, 56
96, 1, 7, 162, 56, 56
98, 1, 11, 154, 56, 56
99, 1, 11, 153, 56, 56
100, 1, 14, 151, 56, 56
101, 1, 94, 205, 56, 56
102, 1, 17, 151, 56, 56
103, 1, 20, 146, 56, 56
104, 1, 18, 151, 56, 56
105, 1, 23, 145, 56, 56
107, 1, 20, 145, 56, 56
108, 1, 24, 146, 56, 56
109, 1, 27, 144, 56, 56
110, 1, 31, 141, 56, 56
111, 1, 27, 149, 56, 56
112, 1, 62, 143, 56, 56
113, 1, 37, 138, 56, 56
114, 1, 38, 137, 56, 56
115, 1, 40, 136, 56, 56
116, 1, 37, 145, 56, 56
117, 1, 38, 136, 56, 56
118, 1, 39, 144, 56, 56
119, 1, 43, 128, 56, 56
120, 1, 41, 127, 56, 56
121, 1, 44, 127, 56, 56
122, 1, 45, 128, 56, 56
123, 1, 48, 126, 56, 56
124, 1, 53, 122, 56, 56
125, 1, 49, 120, 56, 56
126, 1, 51, 121, 56, 56
127, 1, 52, 124, 56, 56
128, 1, 57, 120, 56, 56
129, 1, 51, 120, 56, 56
130, 1, 60, 118, 56, 56
131, 1, 59, 117, 56, 56
132, 1, 52, 117, 56, 56
133, 1, 55, 116, 56, 56
134, 1, 56, 116, 56, 56
135, 1, 57, 113, 56, 56
136, 1, 55, 104, 56, 56
137, 1, 59, 112, 56, 56
138, 1, 60, 110, 56, 56
139, 1, 60, 109, 56, 56
140, 1, 67, 107, 56, 56
141, 1, 62, 106, 56, 56
142, 1, 62, 104, 56, 56
143, 1, 63, 103, 56, 56
144, 1, 63, 101, 56, 56
145, 1, 65, 100, 56, 56
146, 1, 72, 99, 56, 56
147, 1, 71, 98, 56, 56
149, 1, 75, 104, 56, 56
150, 1, 87, 139, 56, 56
151, 1, 76, 103, 56, 56
152, 1, 93, 137, 56, 56
153, 1, 79, 102, 56, 56
154, 1, 79, 102, 56, 56
155, 1, 92, 140, 56, 56
157, 1, 79, 102, 56, 56
158, 1, 73, 98, 56, 56
159, 1, 31, 186, 56, 56
160, 1, 94, 140, 56, 56
161, 1, 176, 175, 56, 56
162, 1, 96, 136, 56, 56
163, 1, 181, 169, 56, 56
164, 1, 185, 168, 56, 56
167, 1, 179, 166, 56, 56
168, 1, 103, 180, 56, 56
177, 1, 50, 166, 56, 56
178, 1, 49, 164, 56, 56
179, 1, 41, 172, 56, 56
180, 1, 48, 167, 56, 56
181, 1, 42, 163, 56, 56
182, 1, 37, 166, 56, 56
183, 1, 120, 203, 56, 56
186, 1, 33, 162, 56, 56
190, 1, 28, 153, 56, 56
199, 1, 235, 144, 56, 56
200, 1, 235, 144, 56, 56
204, 1, 162, 178, 56, 56
205, 1, 162, 183, 56, 56
206, 1, 221, 183, 56, 56
206, 1, 175, 144, 56, 56
207, 1, 175, 142, 56, 56
208, 1, 113, 111, 56, 56
209, 1, 178, 138, 56, 56
209, 1, 84, 100, 56, 56
209, 1, 224, 142, 56, 56
210, 1, 224, 167, 56, 56
211, 1, 93, 94, 56, 56
211, 1, 221, 173, 56, 56
212, 1, 95, 101, 56, 56
212, 1, 219, 135, 56, 56
