head0,29,133.0,149.0
head0,30,126.0,156.0
head0,31,126.0,154.0
head0,32,126.0,164.0
head0,33,124.0,168.0
head0,34,123.0,172.0
head0,35,121.0,176.0
head0,36,110.0,180.0
head0,37,110.0,182.0
head0,38,114.0,181.0
head0,39,102.0,188.0
head0,40,99.0,191.0
head0,41,95.0,193.0
head0,42,92.0,199.0
head0,43,95.0,201.0
head0,44,89.0,195.0
head0,45,79.0,205.0
head0,46,78.0,206.0
head0,47,76.0,200.0
head0,48,71.0,209.0
head0,49,64.0,209.0
head0,50,53.0,204.0
head0,51,54.0,209.0
head1,26,186.0,68.0
head1,27,191.0,74.0
head1,28,190.0,67.0
head1,29,184.0,68.0
head1,30,171.0,61.0
head1,31,178.0,61.0
head1,32,170.0,69.0
head1,33,178.0,71.0
head1,34,180.0,64.0
head1,35,174.0,69.0
head1,36,173.0,75.0
head1,37,174.0,72.0
head1,38,171.0,77.0
head1,39,172.0,76.0
head1,40,172.0,74.0
head1,41,177.0,79.0
head1,42,170.0,84.0
head1,43,170.0,89.0
head1,44,175.0,93.0
head1,45,176.0,90.0
head1,46,183.0,97.0
head1,47,177.0,102.0
head1,48,181.0,108.0
head1,49,183.0,109.0
head1,50,189.0,110.0
head1,52,188.0,109.0
head2,63,168.0,70.0
head2,64,165.0,63.0
head2,66,174.0,76.0
head2,67,176.0,83.0
head2,68,184.0,75.0
head2,70,186.0,80.0
head2,71,168.0,65.0
head2,72,170.0,70.0
head2,73,179.0,80.0
head2,74,184.0,90.0
head2,75,176.0,81.0
head2,76,178.0,82.0
head2,77,182.0,93.0
head2,78,186.0,87.0
head2,79,188.0,99.0
head2,80,193.0,109.0
head2,81,194.0,113.0
head2,82,195.0,109.0
head2,83,193.0,113.0
head2,84,199.0,112.0
head2,85,206.0,114.0
head2,86,210.0,117.0
head3,114,128.0,148.0
head3,115,134.0,146.0
head3,116,128.0,148.0
head3,117,118.0,154.0
head3,118,120.0,164.0
head3,119,118.0,162.0
head3,120,112.0,172.0
head3,121,110.0,178.0
head3,122,108.0,185.0
head3,123,105.0,193.0
head3,124,110.0,194.0
head3,125,108.0,196.0
head3,126,102.0,186.0
head3,127,100.0,196.0
head3,128,94.0,210.0
head3,129,98.0,225.0
head3,130,98.0,220.0
head3,131,86.0,227.0
head3,132,86.0,241.0
head3,133,75.0,246.0
head3,134,72.0,251.0
head3,135,75.0,255.0
head3,136,72.0,252.0
head3,137,76.0,263.0
head3,138,76.0,254.0
head3,139,74.0,264.0
head4,253,185.0,68.0
head4,256,198.0,73.0
head4,257,191.0,58.0
head4,258,186.0,59.0
head4,259,188.0,60.0
head4,260,186.0,59.0
head4,261,187.0,65.0
head4,262,187.0,63.0
head4,263,197.0,66.0
head4,265,190.0,77.0
head4,266,193.0,74.0
head4,267,193.0,89.0
head4,268,192.0,98.0
head4,269,195.0,93.0
head4,270,192.0,101.0
head4,271,194.0,98.0
head4,272,199.0,102.0
head4,273,200.0,103.0
head4,274,193.0,100.0
head4,275,203.0,104.0
head4,276,203.0,103.0
head4,277,192.0,105.0
head4,278,201.0,103.0
head4,279,203.0,109.0
head4,280,201.0,110.0
head4,281,203.0,112.0
